time_s,tau_control_x,tau_control_y,tau_control_z,tau_aero_x,tau_aero_y,tau_aero_z,tau_total_x,tau_total_y,tau_total_z
122,-0.000142573241298413,-0.000143246802454822,0.000143274022621185,-3.20485298785703e-07,1.69609580447058e-07,-2.19901481098627e-07,-0.000142893726597198,-0.000143077192874375,0.000143054121140086
123,-0.000142727280880757,-0.00014339614571987,0.000143425334565112,-3.20221349693229e-07,1.63573130743085e-07,-2.15789198367284e-07,-0.000143047502230451,-0.000143232572589127,0.000143209545366745
124,-0.000142838961257917,-0.000143503038079516,0.000143534149006077,-3.19872391900697e-07,1.57666349235206e-07,-2.11735024865207e-07,-0.000143158833649817,-0.00014334537173028,0.000143322413981212
125,-0.000142909355784422,-0.000143568557362588,0.000143601542940107,-3.19441706409414e-07,1.51889302635661e-07,-2.07740098734297e-07,-0.000143228797490831,-0.000143416668059953,0.000143393802841373
126,-0.000142939523644603,-0.000143593767252649,0.000143628579303134,-3.18932584018327e-07,1.46241875727003e-07,-2.03805440095882e-07,-0.000143258456228622,-0.000143447525376922,0.000143424773863038
127,-0.000142930509174518,-0.00014357971657112,0.000143616306257436,-3.18348319495411e-07,1.40723784049607e-07,-1.99931957566178e-07,-0.000143248857494013,-0.000143438992787071,0.00014341637429987
128,-0.000142883331572159,-0.000143527428825644,0.000143565746778622,-3.17692205559197e-07,1.35334581803445e-07,-1.96120451517991e-07,-0.000143201023777718,-0.000143392094243841,0.000143369626327104
129,-0.00014279898830023,-0.000143437905779134,0.000143477902202753,-3.16967527003939e-07,1.30073667801282e-07,-1.92371616091234e-07,-0.000143115955827234,-0.000143307832111333,0.000143285530586662
130,-0.000142678464257611,-0.000143312136605305,0.000143353761347648,-3.16177556904311e-07,1.2494030745552e-07,-1.88686052585715e-07,-0.000142994641814516,-0.000143187196297849,0.000143165075295062
131,-0.000142522732019829,-0.000143151098122141,0.000143194300745643,-3.15325550300994e-07,1.19933642535754e-07,-1.8506427386138e-07,-0.00014283805757013,-0.000143031164479605,0.000143009236471781
132,-0.000142332751839053,-0.000142955754791897,0.000143000484643589,-3.1441474426745e-07,1.15052702397997e-07,-1.81506711846713e-07,-0.00014264716658332,-0.000142840702089499,0.000142818977931742
133,-0.0001421094716441,-0.000142727058721099,0.000142773265002855,-3.13448352557981e-07,1.10296412599276e-07,-1.78013721497826e-07,-0.000142422919996658,-0.0001426167623085,0.000142595251281357
134,-0.000141853827040432,-0.000142465949660542,0.000142513581499324,-3.12429563683386e-07,1.05663604439604e-07,-1.74585586518318e-07,-0.000142166256604115,-0.000142360286056103,0.000142338995912805
135,-0.000141566741310156,-0.000142173355005293,0.000142222361523397,-3.11361538863451e-07,1.01153023984185e-07,-1.71222524691583e-07,-0.00014187810284902,-0.000142072201981309,0.000142051138998705
136,-0.000141249125412025,-0.000141850189794686,0.000141900520179989,-3.10247410432098e-07,9.67633407931518e-08,-1.67924693169012e-07,-0.000141559372822457,-0.000141753426453893,0.00014173259548682
137,-0.000140901877981436,-0.000141497356712328,0.000141548960288534,-3.0909028068371e-07,9.24931563499068e-08,-1.64692193704333e-07,-0.00014121096826212,-0.000141404863555978,0.00014138426809483
138,-0.000140525885294462,-0.000141115746048704,0.000141168572345043,-3.0789322175304e-07,8.8341012464835e-08,-1.61525078216051e-07,-0.000140833778516215,-0.000141027405036239,0.000141007047266826
139,-0.000140122015444007,-0.000140706229789411,0.000140760228599779,-3.06659273377731e-07,8.4305400071496e-08,-1.58423353905754e-07,-0.000140428674717385,-0.00014062192438934,0.000140601805245873
