T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
67,6600571.36154432,519319.809670609,-0.0689685518181777,-609.49773198638,7735.08352753645,-0.00205770814643152,0.5,-0.5,-0.5,0.5,0,0,0
68,6599957.32478406,527054.53429233,-0.0710415840500748,-618.575648415631,7734.36394280778,-0.00208835584428557,0.5,-0.5,-0.5,0.5,0,0,0
69,6599334.21052981,534788.534010182,-0.0731452625535994,-627.652717882861,7733.6337200323,-0.002119000682716,0.5,-0.5,-0.5,0.5,0,0,0
70,6598702.01963476,542521.798186634,-0.0752795844483537,-636.728927958959,7732.89286020083,-0.00214964261976106,0.5,-0.5,-0.5,0.5,0,0,0
71,6598060.75296451,550254.316185161,-0.0774445468119826,-645.804266216028,7732.1413643186,-0.00218028161346322,0.5,-0.5,-0.5,0.5,0,0,0
72,6597410.41139708,557986.07737025,-0.0796401466801775,-654.878720227383,7731.37923340529,-0.00221091762186913,0.5,-0.5,-0.5,0.5,0,0,0
73,6596750.99582294,565717.071107382,-0.0818663810466657,-663.952277567298,7730.60646849501,-0.00224155060302832,0.5,-0.5,-0.5,0.5,0,0,0
74,6596082.50714497,573447.286763021,-0.0841232468632046,-673.024925811063,7729.82307063633,-0.00227218051499345,0.5,-0.5,-0.5,0.5,0,0,0
75,6595404.94627848,581176.713704727,-0.0864107410396201,-682.096652535286,7729.02904089224,-0.00230280731582181,0.5,-0.5,-0.5,0.5,0,0,0
76,6594718.31415121,588905.341301159,-0.0887288604438086,-691.167445317906,7728.22438034013,-0.00233343096357532,0.5,-0.5,-0.5,0.5,0,0,0
77,6594022.61170331,596633.158922083,-0.0910776019017372,-700.23729173819,7727.40909007183,-0.00236405141632051,0.5,-0.5,-0.5,0.5,0,0,0
78,6593317.83988734,604360.15593836,-0.0934569621974434,-709.306179376733,7726.58317119359,-0.00239466863212856,0.5,-0.5,-0.5,0.5,0,0,0
79,6592603.99966829,612086.321721974,-0.0958669380730407,-718.374095815449,7725.74662482607,-0.00242528256907517,0.5,-0.5,-0.5,0.5,0,0,0
80,6591881.09202357,619811.645645985,-0.098307526228701,-727.441028637271,7724.89945210438,-0.00245589318523901,0.5,-0.5,-0.5,0.5,0,0,0
81,6591149.11794302,627536.117084549,-0.100778723322658,-736.506965426312,7724.04165417806,-0.00248650043870254,0.5,-0.5,-0.5,0.5,0,0,0
82,6590408.07842886,635259.725413024,-0.103280525971248,-745.571893768128,7723.17323221106,-0.00251710428755325,0.5,-0.5,-0.5,0.5,0,0,0
83,6589657.97449577,642982.460007967,-0.105812930748906,-754.635801249719,7722.29418738176,-0.00254770468988366,0.5,-0.5,-0.5,0.5,0,0,0
84,6588898.8071708,650704.310247138,-0.108375934188171,-763.698675459532,7721.40452088291,-0.00257830160379131,0.5,-0.5,-0.5,0.5,0,0,0
85,6588130.57749342,658425.2655095,-0.110969532779684,-772.760503987458,7720.5042339217,-0.00260889498737879,0.5,-0.5,-0.5,0.5,0,0,0
86,6587353.28651552,666145.315175235,-0.113593722972192,-781.821274424821,7719.59332771972,-0.00263948479875356,0.5,-0.5,-0.5,0.5,0,0,0
87,6586566.93530139,673864.448625701,-0.11624850117253,-790.880974364074,7718.67180351298,-0.00267007099602643,0.5,-0.5,-0.5,0.5,0,0,0
88,6585771.52492775,681582.655243453,-0.118933863745629,-799.939591398955,7717.73966255195,-0.00270065353731234,0.5,-0.5,-0.5,0.5,0,0,0
89,6584967.05648369,689299.924412345,-0.121649807014549,-808.997113124762,7716.79690610147,-0.00273123238073168,0.5,-0.5,-0.5,0.5,0,0,0
90,6584153.53107074,697016.245517537,-0.124396327260492,-818.053527138357,7715.84353544079,-0.00276180748441023,0.5,-0.5,-0.5,0.5,0,0,0
91,6583330.9498028,704731.60794549,-0.127173420722792,-827.108821038167,7714.87955186355,-0.00279237880647922,0.5,-0.5,-0.5,0.5,0,0,0
92,6582499.31380618,712446.001083973,-0.129981083598922,-836.162982424181,7713.90495667779,-0.00282294630507533,0.5,-0.5,-0.5,0.5,0,0,0
93,6581658.62421959,720159.41432207,-0.132819312044493,-845.215998897948,7712.91975120594,-0.00285350993834057,0.5,-0.5,-0.5,0.5,0,0,0
94,6580808.88219414,727871.837050161,-0.135688102173249,-854.267858062301,7711.92393678486,-0.00288406966442086,0.5,-0.5,-0.5,0.5,0,0,0
95,6579950.08889335,735583.258659898,-0.138587450057046,-863.318547521405,7710.91751476585,-0.00291462544146633,0.5,-0.5,-0.5,0.5,0,0,0
96,6579082.24549313,743293.668544337,-0.141517351725914,-872.368054881096,7709.90048651455,-0.00294517722763289,0.5,-0.5,-0.5,0.5,0,0,0
97,6578205.35318176,751003.056097938,-0.144477803168057,-881.416367748897,7708.87285341104,-0.0029757249810823,0.5,-0.5,-0.5,0.5,0,0,0
98,6577319.41315993,758711.410716573,-0.147468800329852,-890.463473734013,7707.83461684973,-0.00300626865998216,0.5,-0.5,-0.5,0.5,0,0,0
99,6576424.42664073,766418.72179752,-0.150490339115849,-899.509360447333,7706.78577823944,-0.0030368082225059,0.5,-0.5,-0.5,0.5,0,0,0
100,6575520.3948496,774124.978739469,-0.153542415388779,-908.554015501434,7705.72633900339,-0.0030673436268328,0.5,-0.5,-0.5,0.5,0,0,0
101,6574607.3190244,781830.170942537,-0.156625024969546,-917.597426510387,7704.65630057915,-0.00309787483114687,0.5,-0.5,-0.5,0.5,0,0,0
102,6573685.20041537,789534.287808186,-0.159738163637196,-926.639581089604,7703.57566441878,-0.0031284017936362,0.5,-0.5,-0.5,0.5,0,0,0
103,6572754.04028514,797237.31873937,-0.162881827128983,-935.680466856257,7702.48443198866,-0.00315892447249491,0.5,-0.5,-0.5,0.5,0,0,0
104,6571813.83990872,804939.253140554,-0.166056011140372,-944.720071429321,7701.38260476957,-0.00318944282592339,0.5,-0.5,-0.5,0.5,0,0,0
105,6570864.60057349,812640.08041772,-0.169260711325045,-953.75838242958,7700.27018425665,-0.00321995681212827,0.5,-0.5,-0.5,0.5,0,0,0
106,6569906.32357919,820339.789978358,-0.172495923294902,-962.795387479622,7699.14717195941,-0.00325046638932245,0.5,-0.5,-0.5,0.5,0,0,0
107,6568939.01023798,828038.371231476,-0.175761642620056,-971.831074203843,7698.01356940173,-0.00328097151572507,0.5,-0.5,-0.5,0.5,0,0,0
108,6567962.66187435,835735.813587623,-0.179057864828848,-980.865430228381,7696.86937812184,-0.00331147214956111,0.5,-0.5,-0.5,0.5,0,0,0
109,6566977.27982519,843432.106458799,-0.182384585407801,-989.898443180764,7695.71459967244,-0.0033419682490596,0.5,-0.5,-0.5,0.5,0,0,0
110,6565982.86543978,851127.239258556,-0.185741799801662,-998.930100690289,7694.54923562056,-0.00337245977245556,0.5,-0.5,-0.5,0.5,0,0,0
111,6564979.42007975,858821.201402062,-0.189129503413441,-1007.96039038818,7693.3732875476,-0.00340294667799066,0.5,-0.5,-0.5,0.5,0,0,0
112,6563966.94511908,866513.982306107,-0.192547691604406,-1016.9892999076,7692.18675704934,-0.00343342892391324,0.5,-0.5,-0.5,0.5,0,0,0
113,6562945.44194413,874205.571389102,-0.195996359694087,-1026.01681688363,7690.98964573585,-0.00346390646847832,0.5,-0.5,-0.5,0.5,0,0,0
114,6561914.91195363,881895.958071076,-0.199475502960275,-1035.04292895329,7689.78195523162,-0.0034943792699476,0.5,-0.5,-0.5,0.5,0,0,0
115,6560875.35655865,889585.131773692,-0.202985116639028,-1044.06762375551,7688.56368717544,-0.00352484728658939,0.5,-0.5,-0.5,0.5,0,0,0
116,6559826.77718264,897273.08192023,-0.206525195924658,-1053.09088893089,7687.33484322051,-0.00355531047667709,0.5,-0.5,-0.5,0.5,0,0,0
117,6558769.17526143,904959.797935542,-0.210095735969706,-1062.11271212165,7686.09542503444,-0.00358576879848931,0.5,-0.5,-0.5,0.5,0,0,0
118,6557702.55224317,912645.269246199,-0.21369673188502,-1071.13308097207,7684.84543429917,-0.00361622221031166,0.5,-0.5,-0.5,0.5,0,0,0
119,6556626.90958838,920329.485280499,-0.217328178739753,-1080.15198312846,7683.58487271095,-0.00364667067043686,0.5,-0.5,-0.5,0.5,0,0,0
120,6555542.24876994,928012.435468467,-0.220990071561371,-1089.1694062392,7682.3137419804,-0.00367711413716472,0.5,-0.5,-0.5,0.5,0,0,0
121,6554448.57127305,935694.109241859,-0.224682405335648,-1098.18533795473,7681.03204383245,-0.00370755256880214,0.5,-0.5,-0.5,0.5,0,0,0
122,6553345.87859529,943374.496034155,-0.228405175006669,-1107.19976592753,7679.73978000639,-0.00373798592366312,0.5,-0.5,-0.5,0.5,0,0,0
123,6552234.17224656,951053.585280599,-0.232158375476843,-1116.21267781207,7678.43695225583,-0.00376841416006835,0.5,-0.5,-0.5,0.5,0,0,0
124,6551113.45374912,958731.366418097,-0.235942001606847,-1125.22406126446,7677.1235623488,-0.00379883723634332,0.5,-0.5,-0.5,0.5,0,0,0
125,6549983.7246376,966407.828885314,-0.239756048215679,-1134.23390394278,7675.79961206765,-0.00382925511082022,0.5,-0.5,-0.5,0.5,0,0,0
